댓글 작성자,댓글 내용,댓글 작성 시간
인자,정밀타격 오지네 ,2024-09-30 14:38:51
료마80,대한민국도 차라리 이스라엘 장교 출신들 국방부에 등용하자,2024-09-30 14:38:52
가을비,미국 왼팔로 중국 러시아 상대하고도 힘이 남아돌지 ...헤즈볼라 북돼지... 근방에도 못가지... ,2024-09-30 14:38:53
YDPF,얘들아 우리도 곧이다. 군복 다려라. 군화 딲아놔라,2024-09-30 14:38:56
김지훈,"이스라엘 주변국에 살고있는 민간인들에게 설문조사 돌려보3, 역사적으로 한뿌리의 팔레스타인이 땅뺏겨서 가자지구에 갇혀사는데 감정 하나 안생길지...",2024-09-30 14:39:01
애플로그,오바하지마!!!!!!!!!!,2024-09-30 14:39:05
e sens,대만 먹히는순간 한국도 만간임 미국이 절대 안지켜줌 ,2024-09-30 14:39:08
ᆢ오직,적의수장들을제거하라,2024-09-30 14:39:15
뮤직헌터music hunter ☕,북한도 공습할듯:face-blue-smiling::face-blue-smiling::face-blue-smiling:,2024-09-30 14:39:19
신사임당,알라신 옆으로 다 드개재,2024-09-30 14:39:21
 user-se5lx6ow3c4 ,저 적들이 힘을 합쳐서 이스라엘을 치면 버틸수있을끼?,2024-09-30 14:39:24
YDPF,이란참전하면 중국이 대만 치겟지. 그럼 한국도 참전임. 시나리오대로 가고잇다,2024-09-30 14:39:26
진리&자유,미국에 대해 과대평가하네 ㅋㅋ,2024-09-30 14:39:27
이원희,이거 내 말은 무시하는 군요,2024-09-30 14:39:28
슈퍼맨,배틀크루져 스타한겜하고싶네,2024-09-30 14:39:28
동서남북,군복 다리지 마 위장효과 떨어져,2024-09-30 14:39:36
김상기,아이구 지훈이 팔레스타인 현지인이야~~???,2024-09-30 14:39:36
오늘도 내일도,그러게 이스라엘을 왜 근디려가지고,2024-09-30 14:39:37
김기현,힘을 합쳐서 이스라엘을 친 전쟁이 중동전쟁임,2024-09-30 14:39:39
Dennis,이스라엘 상대도 못하면서 시비 걸지마. 그래봐야 니들 주민만 더 죽는거야.,2024-09-30 14:39:41
 user-se5lx6ow3c4 ,이스라엘에게만 적이지 저들은 힘을 합칠만한 명분이 있는데,2024-09-30 14:39:44
S tellarators,메르카바 전차네,2024-09-30 14:39:46
료마80,동아시아 WW3 개봉박두!!,2024-09-30 14:39:47
김기현,여태 이스라엘이 다 이겨오고 있어씀,2024-09-30 14:39:48
kyunghwan,하메네이 도망설,2024-09-30 14:39:51
젤린오렌지,대만 포기전략 반도체공장엔 자폭장치,2024-09-30 14:39:53
문재인,건들거면 확실히 건들이지,2024-09-30 14:39:55
배고파,시진핑 쎼쎼하면됨ㅋㅋㅋ,2024-09-30 14:39:56
닥터후,김정은하고 젤란스키랑 야차룰로 뜨면 누가 이기나요,2024-09-30 14:39:57
애플로그,뭐만하면.3차대전 ㅇㅈㄹ,2024-09-30 14:39:57
색즉시공공즉시색,사실상 세계군사력2위는 이스라엘이네..규모작은 미군이네,2024-09-30 14:40:02
이스칸,지린다 ㅋㅋ 우리도 좀 저렇게 가자,2024-09-30 14:40:04
이스칸,화끈하게,2024-09-30 14:40:05
문재인,한 수십만명 잡아다가 인질로 잡고있으면,2024-09-30 14:40:08
김기현,심지어 과거엔 이집트까지도 싸웠는데 지금은 그렇지도 않고,2024-09-30 14:40:09
젤린오렌지,김정은 당뇨에 고도비만,2024-09-30 14:40:15
료마80,이스라엘이 미국보다 전투력 더 좋은듯..,2024-09-30 14:40:18
한국,중국도인정했지 미국과 전쟁하면 한달정도버티는건 가능하다고,2024-09-30 14:40:21
황이,테러가 일상인자들 속이 후련하네,2024-09-30 14:40:21
Nam Cho,전쟁에서 지면 그땐 처절한 죽음뿐이다. 우리 나라도 준비태세가 있어야 한다.,2024-09-30 14:40:24
YDPF,우리도 곧이구만. 전장에서 보자 얘들아,2024-09-30 14:40:24
Chgun J,"기습 아니면 중동이 다 합쳐도 이스라엘한테 안 됨. 대부분 공군, 탱크도 없는 나라인데",2024-09-30 14:40:25
일신우일신,대만 먹을려고 해도 아직 한참 준비중일거임,2024-09-30 14:40:25
김지훈,UN이 공습하지말라고 계속말해도 무시하고 미사일 폭격하는 이스라엘 편드는 흑우 많네.,2024-09-30 14:40:27
뽀율s,UAE 사우디 카타르가 매번 아무것도 안해서 그렇지 중동 다 하면 이스라엘 못막음,2024-09-30 14:40:27
가을비,우리 고성능 미사일 한방을 중국 샨샤댐에 주면 생각만해도 끔찍,2024-09-30 14:40:27
라이츄,3차대전은 일어나지 않음 ㅇ,2024-09-30 14:40:33
탁배기,불량국가들과 테러집단 그리고 대모꾼집단 출신들은 모두 거시기해야한다.,2024-09-30 14:40:35
일신우일신,주변국 눈치도 봐야하고 쉬운게 아님,2024-09-30 14:40:35
뮤직헌터music hunter ☕,북하을 때린다 ,2024-09-30 14:40:41
료마80,대한민국에 이스라엘 군사기지 유치하자!! 시원시원하게 싸워주네,2024-09-30 14:40:45
왘에뭉,1ㅉ특 러샤 중꿔 부꽌 하마스 헤즈볼라 지지 ,2024-09-30 14:40:45
마이멜로디,3차대전 일어날거면 니들 직장부터 그만둬라 입들만 살아서,2024-09-30 14:40:47
젤린오렌지,3차대전 일어나야지,2024-09-30 14:40:48
닥터후,대만3차세계대전 곧 일어난다고 함,2024-09-30 14:40:48
SEUNG KIM,이란 쳐 맞고 꼬꾸지려고?,2024-09-30 14:40:50
나산,무장단채 및테러단체. 핵을쏴서라도. 없애야한다. 이것들이 없어도 세상은 돌아간다,2024-09-30 14:41:03
문재인,테러는 언제나 옳다. 일제시대 독립운동가들 나라가 힘이 없으면 테러밖에 할수 없는거다,2024-09-30 14:41:05
라이츄,날리지 않는이상,2024-09-30 14:41:09
진리&자유,3차세계대전은 반드시 일어난다. 그게 바로 아마겟돈 전쟁이다.,2024-09-30 14:41:10
오늘도 내일도,이스라엘 20년간 미국 지원받고 국사기술까지 공유해가면 강해진나라이기에 중동모든나라가 다덤벼도 이스라엘 못이김,2024-09-30 14:41:18
Dennis,아랍이 이스라엘과 미국을 상대할 수 있니? 멍청한 짓이야 ~~~~~~,2024-09-30 14:41:18
SEUNG KIM,이란이 쫄아서 숨었어.,2024-09-30 14:41:20
료마80,지방소멸지역에 이스라엘촌 100만명 유치하자!!,2024-09-30 14:41:23
흑마법사,와우!,2024-09-30 14:41:23
김지훈,"첨단무기있다고 주변국에 미사일 막 쏴대도 된다고 인정하는 순간, 러시아 - 우크라이나 꼴 나는거 순식간이고.. 전세계에 옆나라 이길수있다고 생각하는 나라들 죄다 전쟁일으키라고 부추기는 꼴이지.",2024-09-30 14:41:25
한국,국산무기 제일많이사서 모아둔나라가 이스라엘,2024-09-30 14:41:27
ᆢ오직,화이팅,2024-09-30 14:41:27
 user-se5lx6ow3c4 ,전쟁난다고 호들갑 떠는 애들은 미리 로그아웃하지 왜 살지?,2024-09-30 14:41:27
홍명보,하메네이 쫄아서 땅굴로 숨었다,2024-09-30 14:41:29
누꼬,대전은 뭔 대전 까불다가 일방적으로 쳐맞는거지,2024-09-30 14:41:32
SEUNG KIM,상대조차 안된다. ,2024-09-30 14:41:46
딥슬로,중국은 미국이 대만옆에 핵잠수함 한대만 배치해도 깨갱임 ㅋㅋㅋ,2024-09-30 14:41:50
진리&자유,니들 핵 처맞기 전에 빨리 도망쳐라 ㅋㅋ,2024-09-30 14:42:03
홍명보,내가 군사전문가인데 이란은 이스라엘 공격 절대 못한다,2024-09-30 14:42:03
뽀율s,그리고 레바논 정부쪽 땅은 조용함 ㅋㅋㅋ,2024-09-30 14:42:08
라이츄,중국은 한국 일본만 참전해도 그냥 개박살임,2024-09-30 14:42:14
닥터후,홍금보 아닌가요?,2024-09-30 14:42:15
닥터후,우리도 참전해서 헤즈불라 밟아놓자,2024-09-30 14:42:29
진리&자유,미국이 이빨빠진 호랑이다 ㅋㅋ,2024-09-30 14:42:32
젤린오렌지,레바논은 기독교도국가,2024-09-30 14:42:32
R,이스라엘은 한국의 우방국,2024-09-30 14:42:37
홍명보,나스랄라 사망이후 미사일공격 급격히 줄었다,2024-09-30 14:42:39
한국,이란 참전즉시 자금또다시묶어버리면 또다시30년가난,2024-09-30 14:42:52
228 choi,미국 이미 다 알고있고 지원해주고있지 뭔 미국이 이빨빠져,2024-09-30 14:42:58
나다가,이봐봐 ㅋㅋ 서방은 초토화시키는게 정의라니깐 ㅋㅋ,2024-09-30 14:43:00
SEUNG KIM,헤즈볼라는 내부에 문제가 많아보이더라. ,2024-09-30 14:43:02
momboorim,대만 치는 순간 중공 대홍수 원전과 핵시설 무기고 집중난타. 위성에서 봄 잿더민만 보일것임. 핵과 원전 댐을 보유한 중공 그것이 자폭탄임. 위치파악 미국과 한국. 모두 파악. ㅎㅎ 핵 들고있는것들 그냥 자 폭탄임,2024-09-30 14:43:05
료마80,지방소멸지역에 이스라엘촌 100~200만명 유치하면 중국 일본 대한민국 무시못한다!!,2024-09-30 14:43:05
나다가,러시아가 저랬어봐 ㅋㅋ 악마라했겠지,2024-09-30 14:43:11
SEUNG KIM,정보가 줄줄세고 있어.,2024-09-30 14:43:12
진리&자유,대한민국은 좁밥인데 어디 어르신들이 얘기하는데 감히 껴? ㅋㅋ 좁밥들아,2024-09-30 14:43:16
젤린오렌지,"019년 레바논 수도 베이루트에 본사를 둔 '인포메이션 인터내셔널'에 따르면, 레바논 인구 조사를 시행한 결과, 약 550만 명(해외 거주자 약 130만 포함)의 국민 중 시아파와 수니파를 믿는 비율이 각각 31.6%로 나타났다. 기독교인은 30.6%를 기록했다.",2024-09-30 14:43:17
B급감성,저것들은 민속놀이가 전쟁이네,2024-09-30 14:43:18
Hassel P,이란은 한가지 선택지 밖에 없어...,2024-09-30 14:43:23
나다가,서방이 하면 천사야 ㅋㅋ ㅋㅋ,2024-09-30 14:43:26
오늘도 내일도,이스라엘 몰라서그렇지 실상 우리나라보다 더강함,2024-09-30 14:43:26
이사장,이스라엘을 본받자 배우자,2024-09-30 14:43:28
SEUNG KIM,러시아 ㅋㅋㅋ 옛날 전쟁하고 잇지.,2024-09-30 14:43:28
나다가,서방은 핵쏴도 천사잖아 ㅎㅎ,2024-09-30 14:43:33
닥터후,1개군단 편성해서 중동 ㄱㄱ,2024-09-30 14:43:33
GPTV,북한이랑 전쟁나면 북한도 헤즈볼라 꼴남. 정은이 2시간만에 분해됨.,2024-09-30 14:43:42
신사임당,이스라엘은 여자도 군대간다 ,2024-09-30 14:43:46
신사임당,깝치지마라,2024-09-30 14:43:51
Hassel P,핵미사일 ,2024-09-30 14:43:52
료마80,현명하게 대처하는 이스라엘 늘 당하고 대응도 못하는 대한민국..,2024-09-30 14:44:00
한국,이스라엘이 스파이 다곳곳이있을듯 이번에 무저리 휴대전화 삐삐 폭팔사건보면,2024-09-30 14:44:01
김딱콩,러시아가 언제 먼저 공격 당했냐? ㅋㅋ,2024-09-30 14:44:01
누꼬,이란도 일방적으로 쳐맞을거임 미국 항모 여차하면 투입 대기,2024-09-30 14:44:02
형준 김,목성에서우주선이촬영한파란점지구를한번생각해보자!요작은푸른점속에서불지옥들을벌리고있으니!,2024-09-30 14:44:07
Right Stand,이스라엘 ~ 살아 있네 !!,2024-09-30 14:44:11
닥터후,지금도 참수부대 운용하고 있나?,2024-09-30 14:44:12
Chgun J,"이란이 이스라엘 치는 순간, 예전 미니스커트 시대로 돌아간다 ㅋㅋ 칠 수가 없지",2024-09-30 14:44:19
B급감성,이스라엘 팔레스타인 조용하면,2024-09-30 14:44:21
ByoungHo Park,태극기 집회에 성조기 이스라엘기 들고 댕기는 철딱서니 노인네들 여도 많나보네.,2024-09-30 14:44:21
228 choi,신의뜻은 니들 머리위에 떨어지구있구요 ㅋㅋ,2024-09-30 14:44:24
홍명보,이란 헤즈볼라 하마스 북한 공통점이 최첨단 비행무기에 대한 반격을 못함,2024-09-30 14:44:25
SEUNG KIM,왜 우리가 대응 못하는지 모르네.,2024-09-30 14:44:28
B급감성,시아파 수니파 또 싸움,2024-09-30 14:44:29
cu98,아직도 알라신 찾냐?,2024-09-30 14:44:30
라이츄,그냥 드론 북한 인구수대로 만들어서 보내자 북한으로 ,2024-09-30 14:44:31
나다가,이스라엘도 자작극 ㅋㅋ,2024-09-30 14:44:35
B급감성,격주로 싸움,2024-09-30 14:44:36
 user-se5lx6ow3c4 ,이스라엘은 자신들이 나라없이 그리고 이렇게 라도 끝까지 살아남은 거보면 저들도 살아남을 수 있다고 보고 끝까지 긴장해야지,2024-09-30 14:44:37
cu98,다디지고도 알라신이나 찾아라,2024-09-30 14:44:37
나다가,이스라엘 1천년전 지들땅리라고 침략해서 주둔해 사는 나라가 ㅋㅋ,2024-09-30 14:44:47
여왕님,뭐야,2024-09-30 14:44:47
여왕님,전쟁이야,2024-09-30 14:44:49
SEUNG KIM,알라는 하나님이야.,2024-09-30 14:44:49
뽀율s,레바논 북쪽에는 유엔군 있지 않음?,2024-09-30 14:44:52
여왕님,3차세계대전이애ㅑ,2024-09-30 14:44:52
이해요,해즈볼라는 레바논인들을 인질로 그들의 정치적 종교적 이득을 취해왔다,2024-09-30 14:44:52
228 choi,이란 못깝치지,2024-09-30 14:44:54
여왕님,3차세꼐대전나자,2024-09-30 14:44:57
여왕님,나라가 다망했는데,2024-09-30 14:45:00
Chris Shin,개 박살내버려야지,2024-09-30 14:45:01
나다가,이스라엘은 침략국이야 ㅋㅋ,2024-09-30 14:45:03
여왕님,3차맞구 죽자,2024-09-30 14:45:04
GPTV,정은이 대변이이 이 채팅방에도 있네,2024-09-30 14:45:05
애플로그,해봐,2024-09-30 14:45:06
Dennis,"이란은 까불면, 미국한테 처 맞을꺼야~~~~",2024-09-30 14:45:09
나다가,이스라엘 국가가 아님,2024-09-30 14:45:10
박지민,이란은 아랍이 아니다,2024-09-30 14:45:11
애플로그,이란 해봐,2024-09-30 14:45:13
더운밥,아주 토람프 대통령 만들려고 네타내후가 난리를 치고 잇넹....확전으로 몰고 잇넹....참나,2024-09-30 14:45:14
SEUNG KIM,유대교와 이슬람교는 차이가 있지만 신을 같아.,2024-09-30 14:45:15
오늘도 내일도,세계 경제 유대인들 생각해보면 이스라엘이 얼마나 세계경제 뒤흔드는지 모를꺼다 로차일드가문이 이스라엘이다,2024-09-30 14:45:18
나다가,침략해서 남들 괴롭히고 꼬투리잡아서,2024-09-30 14:45:19
나다가,저렇게 폭격하는게 맞아? ㅋㅋ,2024-09-30 14:45:24
ᆢ오직,김정은수괴를제거하라,2024-09-30 14:45:24
뽀율s,레바논에 유엔군 주둔하고 있는걸로 아는데,2024-09-30 14:45:30
여왕님,전쟁이야 빨리 3차가자,2024-09-30 14:45:30
일신우일신,이란은 페르시아,2024-09-30 14:45:31
한국,제일웃긴게 예멘 후티반군 한국 80년대 미사일 이스라엘에 발사 피해해없음ㅋ,2024-09-30 14:45:32
박지민,이란지들은 페리시아라고 하지 아랍이라고는 안함,2024-09-30 14:45:33
오오오,여왕아 프샤 리얼돌이냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 14:45:36
228 choi,무조건 미국무기 운용하는국가가이김,2024-09-30 14:45:37
나다가,그냥 서방은 학살해도 정의야 ㅋㅋ,2024-09-30 14:45:42
여왕님,리얼돌이긴 나지,2024-09-30 14:45:46
D.H KIM,이스라엘 놈들 못됬지만 멋진 놈들임,2024-09-30 14:45:49
딥슬로,이스라엘은 중동애들 인구 줄이려고 간거임 일루미나티 명을받아서,2024-09-30 14:45:51
나다가,뭔소리? ㅋㅋ,2024-09-30 14:45:52
여왕님,리얼돌처럼예쁘구나,2024-09-30 14:45:53
진리&자유,알라는 지구에 제일 처음으로 온 외계지적생명체인 알라루를 말하는거고 하나님은 아누님이야,2024-09-30 14:45:53
오오오,얼마주고샀나?ㅋㅋㅋ,2024-09-30 14:45:53
뿌시레기,이슬람교는 여성인권 있음?,2024-09-30 14:45:56
여왕님,섰냐?,2024-09-30 14:45:57
ᆢ오직,폭격이답이다 폭격하라저멸할때까지,2024-09-30 14:45:59
Laserahn,이게 정답이지...우리집에 처 들어온 강도는 죽이는게 답이지.,2024-09-30 14:46:03
더운밥,예맨 반군까지 폭격하고...아주 확전을 하려고 난리넹,2024-09-30 14:46:04
나다가,"히틀러, 일본 졌는데 ㅋㅋ",2024-09-30 14:46:06
은폐왕클로킹,이스라엘 대단하네 굴러 들어온 돌이 박힌 돌 박살내네,2024-09-30 14:46:06
여왕님,난연봉2억아니면 처다보지도안는다,2024-09-30 14:46:07
미역,존나 더럽노 리얼돌 ㅇㅈㄹ,2024-09-30 14:46:08
Chgun J,김정은 지금 대피훈련 중이다. 헤즈볼라 지휘부 죽는 꼴 보고 ㄷㄷㄷ 시전 중,2024-09-30 14:46:09
김진현,1:4다,2024-09-30 14:46:10
홍명보,작년10월에 이스라엘이 쳐맞은거 생각 안하냐,2024-09-30 14:46:12
오오오,묶어서 안선다 ㅡㅡ,2024-09-30 14:46:13
나다가,미국 무기 운영하고 진나라 독일 일본있잖아 ㅋㅋ,2024-09-30 14:46:14
료마80,지방소멸지역에 이스라엘촌 100~200만명 신도시 유치하자!,2024-09-30 14:46:16
B급감성,전쟁의 씨를 뿌린게 예수네,2024-09-30 14:46:20
J,무서워.....,2024-09-30 14:46:22
여왕님,난연봉2억아니면 처다보지도안는다,2024-09-30 14:46:25
누꼬,이번에 전부 정리해야한다,2024-09-30 14:46:28
나다가,미국무기로 학살만 무진장하고,2024-09-30 14:46:29
김진현,"하마스, 헤즈볼라, 후티, 이란을 상대로 1:4의 전쟁이다",2024-09-30 14:46:32
이름,여왕이 이미 나한테 뚫림 ㅅㄱ,2024-09-30 14:46:33
나다가,결국 짐 ㅋㅋ 미국무기쓴나라들,2024-09-30 14:46:34
SEUNG KIM,확전은 예메은 되게 멀다.,2024-09-30 14:46:34
홍명보,땅덩이가 저렇게 큰데 이스라엘 하나 못없애냐?????????????,2024-09-30 14:46:36
여왕님,3차맞구죽자,2024-09-30 14:46:37
Bermuda,이스라엘은 잘한다. 미국은 본을봐라 . 깐죽거리면 무조건 없에버려야한다,2024-09-30 14:46:40
SEUNG KIM,이란도 되게 멀어.,2024-09-30 14:46:42
한국,러시아바라 총도 60년대꺼 줫다잖아 좋은거 나눠주고 없으니깐 자동소총과 엽총 대결되나,2024-09-30 14:46:45
